DATA INICIAL,DATA FINAL,REGIÃO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO,MÊS,ANO
2004-05-30,2004-06-05,NORTE,RORAIMA,ETANOL HIDRATADO,12,R$/l,1.4,0.104,1.3,1.5,0.255,0.074,1.145,0.06,0.9909,1.2022,0.052,5,2004
2004-05-30,2004-06-05,NORTE,TOCANTINS,ETANOL HIDRATADO,73,R$/l,1.268,0.100999999999999,1.099,1.58,0.572,0.08,0.696,0.102,0.554,0.9612,0.147,5,2004
2004-05-30,2004-06-05,SUDESTE,ESPIRITO SANTO,ETANOL HIDRATADO,304,R$/l,1.168,0.118,0.89,1.47,0.299,0.100999999999999,0.869,0.084,0.6662,1.0769,0.097,5,2004
2004-05-30,2004-06-05,SUDESTE,MINAS GERAIS,ETANOL HIDRATADO,1248,R$/l,1.232,0.106,0.949,1.68,0.369,0.086,0.863,0.127,0.4802,1.42,0.147,5,2004
2004-05-30,2004-06-05,SUDESTE,RIO DE JANEIRO,ETANOL HIDRATADO,955,R$/l,1.149,0.156,0.799,1.599,0.3,0.136,0.849,0.188,0.3453,1.3667,0.221,5,2004
2004-05-30,2004-06-05,SUDESTE,SAO PAULO,ETANOL HIDRATADO,4073,R$/l,0.887,0.075,0.639,1.359,0.216,0.085,0.671,0.075,0.3398,1.0669,0.112,5,2004
2004-05-30,2004-06-05,SUL,PARANA,ETANOL HIDRATADO,768,R$/l,1.046,0.09,0.78,1.5,0.318,0.086,0.728,0.122,0.435,1.0124,0.168,5,2004
2004-05-30,2004-06-05,SUL,RIO GRANDE DO SUL,ETANOL HIDRATADO,686,R$/l,1.333,0.136,0.97,1.71,0.392,0.102,0.941,0.111,0.55,1.33,0.118,5,2004
2004-05-30,2004-06-05,SUL,SANTA CATARINA,ETANOL HIDRATADO,511,R$/l,1.278,0.07,1.076,1.49,0.404,0.055,0.874,0.125,0.6351,1.4858,0.143,5,2004
2004-06-06,2004-06-12,CENTRO OESTE,DISTRITO FEDERAL,ETANOL HIDRATADO,129,R$/l,1.373,0.059,1.09,1.47,0.422,0.043,0.951,0.125,0.5169,1.115,0.131,6,2004
2004-06-06,2004-06-12,CENTRO OESTE,GOIAS,ETANOL HIDRATADO,389,R$/l,1.217,0.131,0.92,1.52,0.407,0.108,0.81,0.087,0.5843,1.0352,0.107,6,2004
2004-06-06,2004-06-12,CENTRO OESTE,MATO GROSSO,ETANOL HIDRATADO,197,R$/l,1.405,0.115999999999999,1.119,1.71,0.413,0.083,0.992,0.115,0.5614,1.3594,0.116,6,2004
2004-06-06,2004-06-12,CENTRO OESTE,MATO GROSSO DO SUL,ETANOL HIDRATADO,164,R$/l,1.329,0.085,1.099,1.498,0.426,0.064,0.903,0.125,0.603,1.2396,0.138,6,2004
2004-06-06,2004-06-12,NORDESTE,ALAGOAS,ETANOL HIDRATADO,103,R$/l,1.201,0.06,1.05,1.4,0.259,0.05,0.942,0.083,0.7441,1.1584,0.088,6,2004
2004-06-06,2004-06-12,NORDESTE,BAHIA,ETANOL HIDRATADO,410,R$/l,1.413,0.113,1.14,1.95,0.462,0.08,0.951,0.137,0.5686,1.285,0.144,6,2004
2004-06-06,2004-06-12,NORDESTE,CEARA,ETANOL HIDRATADO,277,R$/l,1.445,0.198,1.05,1.95,0.322,0.136999999999999,1.123,0.082,0.85727,1.3021,0.073,6,2004
